Age,Gender,Quit,YearsOverall,BasicSalary,Contract,CusSize,TechRole,ThisYearBonus,LastYearBonus,Level
42,0,1,20.0,55000.0,Unlimited contract,1000+,1,0,0,Employee
36,0,0,14.0,62000.0,Unlimited contract,1000+,0,0,0,Employee
37,1,0,8.0,60000.0,Unlimited contract,51 to 100,1,0,0,Employee
33,1,0,10.0,75000.0,Unlimited contract,101 to 1000,1,1,1,Management
38,1,0,11.0,55000.0,Unlimited contract,101 to 1000,1,0,0,Management
27,1,0,4.0,60000.0,Unlimited contract,51 to 100,1,0,0,Management
36,0,0,5.0,60000.0,Unlimited contract,101 to 1000,1,1,0,Employee
32,1,0,10.0,68500.0,Unlimited contract,101 to 1000,1,1,1,Management
40,1,0,10.0,100000.0,Unlimited contract,51 to 100,1,0,0,Top Management
46,1,1,4.0,82000.0,Unlimited contract,101 to 1000,0,0,1,Management
31,1,1,9.0,90000.0,Unlimited contract,1000+,1,0,0,Management
40,1,0,25.0,85000.0,Unlimited contract,11 to 50,1,1,1,Management
33,1,0,5.0,66000.0,Unlimited contract,101 to 1000,1,1,1,Employee
34,1,0,14.0,95000.0,Unlimited contract,1000+,1,1,0,Management
36,1,0,18.0,65000.0,Unlimited contract,101 to 1000,1,1,1,Management
32,1,0,11.0,80000.0,Unlimited contract,101 to 1000,1,0,0,Management
46,1,1,14.0,80000.0,Unlimited contract,51 to 100,1,0,0,Management
30,1,0,8.0,66000.0,Unlimited contract,1000+,1,0,0,Management
31,1,0,10.0,115000.0,Unlimited contract,1000+,1,1,1,Management
26,1,0,6.0,70000.0,Unlimited contract,101 to 1000,1,0,0,Management
36,1,0,12.0,105000.0,Unlimited contract,1000+,1,1,1,Management
40,1,0,13.0,77000.0,Unlimited contract,1000+,0,1,0,Management
38,1,0,6.0,68000.0,Unlimited contract,1000+,1,1,1,Management
32,1,0,9.0,70000.0,Unlimited contract,11 to 50,1,1,1,Management
29,1,0,8.0,70000.0,Unlimited contract,1000+,1,1,1,Management
35,1,0,10.0,96000.0,Unlimited contract,11 to 50,1,1,0,Management
30,0,0,10.0,65000.0,Unlimited contract,1000+,1,1,1,Management
43,1,1,20.0,79000.0,Unlimited contract,1000+,1,0,0,Management
38,1,0,16.0,65000.0,Unlimited contract,1000+,1,0,0,Management
26,1,0,5.0,63000.0,Unlimited contract,101 to 1000,1,1,0,Employee
25,0,0,3.0,62000.0,Unlimited contract,1000+,1,0,0,Employee
34,1,1,12.0,95000.0,Unlimited contract,11 to 50,1,0,1,Management
27,1,0,5.0,65000.0,Unlimited contract,1000+,1,0,0,Employee
34,1,0,5.0,65000.0,Unlimited contract,101 to 1000,1,1,1,Employee
36,0,0,14.0,69000.0,Unlimited contract,11 to 50,1,1,1,Management
27,1,0,5.0,65000.0,Unlimited contract,1000+,1,0,0,Employee
45,1,0,10.0,77000.0,Unlimited contract,101 to 1000,1,1,1,Management
35,1,0,6.0,74000.0,Unlimited contract,51 to 100,1,1,0,Management
36,1,0,7.0,80000.0,Unlimited contract,1000+,1,1,0,Management
33,1,0,14.0,70000.0,Unlimited contract,101 to 1000,1,0,0,Management
30,1,0,10.0,56000.0,Unlimited contract,1000+,1,0,0,Employee
24,1,0,0.8,48000.0,Unlimited contract,11 to 50,1,1,1,Employee
29,1,0,8.0,65000.0,Unlimited contract,101 to 1000,1,0,0,Management
32,1,0,10.0,100000.0,Unlimited contract,1000+,1,0,0,Management
25,1,1,1.0,65000.0,Unlimited contract,1000+,1,1,0,Employee
32,1,0,9.0,95000.0,Unlimited contract,1000+,0,1,0,Management
30,1,0,7.0,100000.0,Unlimited contract,1000+,1,1,1,Management
26,0,0,6.0,65000.0,Unlimited contract,101 to 1000,1,1,1,Management
31,1,0,9.0,92500.0,Unlimited contract,1000+,1,1,0,Employee
29,0,0,6.0,54000.0,Unlimited contract,101 to 1000,1,0,0,Employee
34,1,0,14.0,72000.0,Unlimited contract,101 to 1000,1,0,0,Management
31,1,0,10.0,60000.0,Unlimited contract,1000+,1,1,0,Management
29,1,0,8.0,95000.0,Unlimited contract,1000+,1,1,1,Management
33,1,0,10.0,67000.0,Unlimited contract,1000+,1,0,0,Employee
37,1,1,15.0,72000.0,Unlimited contract,1000+,1,1,1,Management
30,1,0,4.0,42000.0,Unlimited contract,101 to 1000,1,0,0,Employee
43,1,0,5.0,64000.0,Unlimited contract,101 to 1000,1,1,1,Employee
32,0,0,2.0,52000.0,Unlimited contract,1000+,1,1,0,Employee
29,1,0,9.0,85000.0,Unlimited contract,1000+,1,0,0,Management
41,1,0,19.0,123600.0,Unlimited contract,101 to 1000,1,0,0,Management
29,1,0,5.0,57000.0,Unlimited contract,101 to 1000,1,0,0,Employee
27,1,0,7.0,72000.0,Unlimited contract,11 to 50,1,1,0,Management
39,1,0,10.0,120000.0,Unlimited contract,1000+,0,1,1,Management
33,0,0,6.5,58000.0,Unlimited contract,101 to 1000,0,1,1,Management
45,0,0,6.0,55000.0,Unlimited contract,11 to 50,1,0,0,Management
38,1,0,12.0,73000.0,Unlimited contract,51 to 100,1,1,0,Management
32,1,1,9.0,90000.0,Unlimited contract,101 to 1000,1,0,0,Management
41,1,0,21.0,80000.0,Unlimited contract,101 to 1000,1,0,0,Management
34,1,1,10.0,85000.0,Unlimited contract,1000+,1,1,0,Management
32,1,0,12.0,66800.0,Unlimited contract,51 to 100,1,0,0,Management
33,1,0,10.0,70000.0,Unlimited contract,101 to 1000,1,0,1,Management
34,1,1,12.0,90000.0,Unlimited contract,1000+,1,0,0,Management
28,1,0,7.0,70000.0,Unlimited contract,101 to 1000,1,0,0,Management
32,1,0,7.5,68000.0,Unlimited contract,101 to 1000,1,1,0,Employee
39,1,0,17.0,64000.0,Unlimited contract,101 to 1000,1,1,0,Management
30,1,0,7.0,72000.0,Unlimited contract,11 to 50,1,0,0,Management
34,1,0,12.0,70000.0,Unlimited contract,101 to 1000,1,0,0,Management
35,1,0,10.0,63500.0,Unlimited contract,101 to 1000,1,1,1,Management
38,1,0,13.0,89570.0,Unlimited contract,1000+,1,1,1,Management
34,0,0,9.0,78000.0,Unlimited contract,101 to 1000,1,1,1,Management
31,1,0,7.0,80000.0,Unlimited contract,1000+,1,0,0,Management
34,1,0,15.0,70000.0,Unlimited contract,51 to 100,1,1,1,Management
29,0,0,5.0,67000.0,Unlimited contract,101 to 1000,1,1,1,Employee
37,1,0,15.0,85000.0,Unlimited contract,1000+,1,1,0,Management
30,1,0,9.0,66000.0,Unlimited contract,101 to 1000,1,0,0,Employee
46,1,1,14.0,80000.0,Unlimited contract,51 to 100,1,0,0,Management
38,1,0,15.0,56400.0,Unlimited contract,11 to 50,1,0,0,Management
32,1,0,11.0,81200.0,Unlimited contract,1000+,1,1,0,Management
36,0,0,11.0,70000.0,Unlimited contract,1000+,0,1,0,Management
26,1,0,7.0,65000.0,Unlimited contract,101 to 1000,1,0,0,Management
29,1,0,12.0,75000.0,Unlimited contract,101 to 1000,1,1,1,Management
29,1,0,5.0,55000.0,Unlimited contract,11 to 50,1,1,1,Employee
33,1,0,10.0,75000.0,Unlimited contract,101 to 1000,1,0,0,Management
32,1,0,9.0,76000.0,Unlimited contract,101 to 1000,1,0,0,Management
34,1,0,10.0,76000.0,Unlimited contract,101 to 1000,1,1,1,Management
32,1,0,4.0,65000.0,Unlimited contract,51 to 100,1,0,1,Management
47,1,0,22.0,46000.0,Unlimited contract,up to 10,1,1,1,Management
29,1,0,8.0,65000.0,Unlimited contract,101 to 1000,1,0,0,Employee
40,1,0,18.0,60000.0,Unlimited contract,1000+,1,0,0,Management
27,1,0,5.0,71000.0,Unlimited contract,1000+,1,1,0,Management
27,1,0,5.0,65000.0,Unlimited contract,51 to 100,1,0,1,Management
30,1,0,9.0,90000.0,Unlimited contract,101 to 1000,1,0,0,Management
30,1,0,6.0,60000.0,Unlimited contract,101 to 1000,1,1,0,Employee
29,1,0,8.0,73000.0,Unlimited contract,1000+,1,1,1,Management
37,1,0,15.0,67500.0,Unlimited contract,1000+,1,1,1,Management
28,1,0,6.0,66000.0,Unlimited contract,1000+,1,1,0,Employee
28,0,0,8.0,80000.0,Unlimited contract,101 to 1000,1,0,0,Management
33,1,0,13.0,75000.0,Unlimited contract,1000+,1,1,0,Management
29,1,1,11.0,85000.0,Unlimited contract,51 to 100,1,1,1,Management
31,1,1,11.0,75000.0,Unlimited contract,1000+,1,0,0,Employee
44,1,0,28.0,78500.0,Unlimited contract,51 to 100,1,0,1,Management
35,1,0,5.0,56000.0,Unlimited contract,101 to 1000,0,1,1,Management
32,1,0,12.0,83000.0,Unlimited contract,1000+,1,1,0,Management
32,1,1,8.0,65000.0,Unlimited contract,up to 10,1,1,1,Management
33,1,0,10.0,65000.0,Unlimited contract,1000+,1,0,0,Employee
27,1,0,8.0,45000.0,Unlimited contract,51 to 100,1,0,0,Employee
32,1,0,5.0,72000.0,Unlimited contract,11 to 50,1,0,0,Employee
34,1,0,15.0,80000.0,Unlimited contract,1000+,1,1,1,Management
41,1,1,19.0,95500.0,Unlimited contract,1000+,1,1,1,Management
35,1,0,14.0,72000.0,Unlimited contract,101 to 1000,1,1,1,Management
24,1,0,3.0,77600.0,Unlimited contract,1000+,1,1,1,Employee
31,1,0,7.0,50400.0,Unlimited contract,1000+,1,1,1,Management
35,1,0,11.0,74400.0,Unlimited contract,101 to 1000,1,0,0,Management
23,1,0,4.0,70500.0,Unlimited contract,1000+,1,0,0,Employee
39,1,0,11.0,75000.0,Unlimited contract,101 to 1000,1,0,0,Management
27,0,1,3.0,58000.0,Unlimited contract,51 to 100,1,1,0,Employee
35,0,0,15.0,53000.0,Unlimited contract,1000+,0,1,0,Employee
35,1,1,11.0,66000.0,Unlimited contract,101 to 1000,1,1,1,Management
29,1,0,10.0,80000.0,Unlimited contract,101 to 1000,1,0,0,Management
24,1,0,3.0,44000.0,Unlimited contract,51 to 100,1,1,0,Employee
28,1,0,8.0,75000.0,Unlimited contract,101 to 1000,1,0,0,Management
28,1,0,9.0,60000.0,Unlimited contract,11 to 50,1,1,1,Management
37,1,1,8.0,76900.0,Unlimited contract,101 to 1000,1,1,1,Management
30,1,0,4.0,55000.0,Unlimited contract,1000+,1,0,0,Employee
34,1,0,9.0,72000.0,Unlimited contract,1000+,1,1,0,Management
39,1,1,15.0,70000.0,Unlimited contract,101 to 1000,1,0,0,Management
42,1,0,20.0,75000.0,Unlimited contract,101 to 1000,1,0,0,Management
32,0,0,7.0,63000.0,Unlimited contract,1000+,1,0,0,Management
27,1,1,4.0,62000.0,Unlimited contract,1000+,1,1,1,Employee
29,1,0,8.0,69000.0,Unlimited contract,1000+,1,1,0,Management
32,1,0,10.0,88000.0,Unlimited contract,1000+,1,1,1,Management
29,1,0,5.0,56000.0,Unlimited contract,11 to 50,1,0,0,Employee
30,1,0,7.0,55000.0,Unlimited contract,101 to 1000,1,0,0,Management
38,1,1,10.0,70000.0,Unlimited contract,1000+,1,0,1,Management
25,1,0,6.0,100000.0,Unlimited contract,1000+,1,1,0,Employee
24,1,0,3.0,30000.0,Unlimited contract,11 to 50,1,0,0,Employee
34,0,0,6.0,67500.0,Unlimited contract,1000+,1,0,0,Management
30,1,0,2.0,50000.0,Unlimited contract,101 to 1000,1,1,1,Employee
28,1,0,5.0,45000.0,Unlimited contract,11 to 50,1,0,0,Management
34,1,0,13.0,85000.0,Unlimited contract,1000+,1,0,0,Management
33,1,0,10.0,100000.0,Unlimited contract,1000+,1,0,0,Top Management
34,1,0,12.0,54000.0,Unlimited contract,101 to 1000,1,0,0,Employee
34,1,0,10.0,60000.0,Unlimited contract,11 to 50,1,0,0,Management
23,1,0,3.0,60000.0,Unlimited contract,1000+,1,1,0,Employee
30,1,0,10.0,75000.0,Unlimited contract,1000+,1,1,1,Management
32,1,0,10.0,85000.0,Unlimited contract,101 to 1000,1,0,0,Employee
40,1,0,13.0,90000.0,Unlimited contract,1000+,0,1,0,Top Management
27,1,0,6.0,82000.0,Unlimited contract,1000+,1,1,1,Employee
29,1,0,8.0,75000.0,Unlimited contract,1000+,1,0,0,Employee
23,1,1,5.0,53000.0,Unlimited contract,101 to 1000,1,0,0,Employee
31,1,0,10.0,80000.0,Unlimited contract,1000+,1,1,1,Management
33,1,0,12.0,120000.0,Unlimited contract,101 to 1000,1,1,1,Management
33,1,0,2.0,62000.0,Unlimited contract,101 to 1000,1,0,0,Employee
37,1,0,13.0,70000.0,Unlimited contract,11 to 50,0,0,0,Management
35,1,0,6.0,80000.0,Unlimited contract,11 to 50,1,0,0,Management
27,1,0,4.0,65000.0,Unlimited contract,101 to 1000,1,0,0,Employee
30,1,0,3.0,30000.0,Unlimited contract,11 to 50,0,0,0,Employee
28,1,1,4.0,70000.0,Unlimited contract,101 to 1000,1,1,1,Employee
34,1,0,10.0,70000.0,Unlimited contract,51 to 100,1,0,0,Management
39,1,0,20.0,122000.0,Unlimited contract,1000+,1,1,1,Management
35,1,0,16.0,84000.0,Unlimited contract,101 to 1000,1,0,0,Management
26,1,0,5.0,71000.0,Unlimited contract,1000+,1,0,0,Employee
28,1,0,5.0,65000.0,Unlimited contract,101 to 1000,1,0,0,Employee
33,1,0,16.0,83000.0,Unlimited contract,1000+,1,1,1,Management
34,1,0,5.0,76500.0,Unlimited contract,1000+,1,0,0,Management
31,1,0,8.0,60000.0,Unlimited contract,11 to 50,1,0,0,Management
31,1,0,8.0,79000.0,Unlimited contract,1000+,1,1,0,Management
31,1,1,5.0,90000.0,Unlimited contract,101 to 1000,1,1,1,Employee
27,1,0,6.0,82000.0,Unlimited contract,1000+,1,1,0,Employee
39,1,0,6.0,60000.0,Unlimited contract,101 to 1000,1,0,0,Management
38,1,1,24.0,130000.0,Unlimited contract,101 to 1000,1,0,0,Top Management
35,1,0,10.0,75000.0,Unlimited contract,101 to 1000,1,1,0,Management
28,1,0,2.0,36000.0,Unlimited contract,1000+,1,1,0,Employee
30,0,1,6.0,76000.0,Unlimited contract,1000+,1,1,1,Management
30,1,0,5.0,90000.0,Unlimited contract,1000+,0,1,1,Management
26,1,1,2.0,54000.0,Unlimited contract,1000+,1,1,1,Employee
25,1,0,3.0,65000.0,Unlimited contract,1000+,1,1,0,Management
30,1,0,3.0,30000.0,Unlimited contract,11 to 50,0,0,0,Employee
28,1,0,7.0,60000.0,Unlimited contract,101 to 1000,0,1,0,Top Management
25,1,0,1.0,51000.0,Unlimited contract,1000+,1,1,0,Employee
29,1,0,3.0,43000.0,Unlimited contract,51 to 100,1,1,1,Employee
30,1,0,4.0,73000.0,Unlimited contract,101 to 1000,1,0,0,Management
30,1,0,11.0,74000.0,Unlimited contract,1000+,1,1,1,Management
28,0,0,10.0,86000.0,Unlimited contract,1000+,1,1,1,Management
32,1,0,10.0,55000.0,Unlimited contract,101 to 1000,1,1,0,Employee
32,1,0,7.0,85000.0,Unlimited contract,101 to 1000,0,1,1,Management
30,0,1,4.0,56000.0,Unlimited contract,1000+,1,0,0,Employee
29,1,0,7.0,70000.0,Unlimited contract,51 to 100,1,0,0,Employee
32,0,0,10.0,68000.0,Unlimited contract,1000+,1,0,0,Employee
34,1,0,10.0,70000.0,Unlimited contract,1000+,1,0,0,Management
40,1,1,15.0,80000.0,Unlimited contract,1000+,1,0,0,Top Management
35,1,0,15.0,77000.0,Unlimited contract,1000+,1,1,1,Management
31,1,0,8.0,77000.0,Unlimited contract,1000+,1,0,0,Management
38,1,1,15.0,56000.0,Unlimited contract,11 to 50,1,1,1,Management
30,0,0,5.0,54000.0,Unlimited contract,11 to 50,1,0,0,Employee
36,1,0,18.0,98000.0,Unlimited contract,1000+,1,1,1,Top Management
41,1,0,20.0,93000.0,Unlimited contract,1000+,1,1,1,Management
41,1,0,18.0,100000.0,Unlimited contract,51 to 100,1,1,1,Management
28,0,0,6.0,70000.0,Unlimited contract,1000+,1,0,0,Management
29,1,0,5.0,70000.0,Unlimited contract,1000+,1,0,0,Management
23,1,0,3.0,80000.0,Unlimited contract,1000+,1,1,0,Employee
37,1,0,15.0,78000.0,Unlimited contract,1000+,1,0,0,Management
32,1,0,15.0,90000.0,Unlimited contract,11 to 50,1,0,0,Management
45,0,0,15.0,52000.0,Unlimited contract,11 to 50,1,0,0,Management
42,1,0,16.0,36000.0,Unlimited contract,1000+,1,0,0,Management
23,1,0,4.0,45000.0,Unlimited contract,11 to 50,0,0,0,Employee
36,1,0,14.0,75000.0,Unlimited contract,101 to 1000,1,0,0,Employee
28,1,0,7.0,95000.0,Unlimited contract,101 to 1000,1,1,0,Management
33,1,0,10.0,95000.0,Unlimited contract,1000+,1,1,1,Management
33,1,0,13.0,78600.0,Unlimited contract,101 to 1000,1,0,0,Management
31,1,0,10.0,70000.0,Unlimited contract,101 to 1000,1,1,1,Management
31,1,0,4.0,67000.0,Unlimited contract,1000+,1,1,1,Employee
38,1,0,15.0,70000.0,Unlimited contract,11 to 50,1,1,1,Management
27,0,0,1.0,63000.0,Unlimited contract,1000+,1,0,1,Employee
31,1,0,8.0,60000.0,Unlimited contract,101 to 1000,1,1,1,Management
28,0,0,3.0,54500.0,Unlimited contract,101 to 1000,1,0,0,Employee
27,1,0,2.0,90000.0,Unlimited contract,1000+,1,1,1,Management
29,1,0,8.0,82500.0,Unlimited contract,1000+,1,0,0,Top Management
28,1,0,5.0,60000.0,Unlimited contract,101 to 1000,1,0,0,Employee
38,1,0,16.0,85000.0,Unlimited contract,101 to 1000,1,0,1,Management
30,1,0,7.0,65000.0,Unlimited contract,1000+,1,1,1,Management
33,0,1,6.0,42000.0,Unlimited contract,51 to 100,1,0,0,Employee
37,1,0,16.0,65000.0,Unlimited contract,101 to 1000,1,0,0,Management
40,1,0,13.0,90000.0,Unlimited contract,1000+,0,1,0,Top Management
30,1,0,7.0,86000.0,Unlimited contract,1000+,1,0,0,Management
30,1,0,8.0,60000.0,Unlimited contract,51 to 100,1,0,0,Management
32,1,0,10.0,81000.0,Unlimited contract,1000+,1,1,1,Management
32,1,1,7.0,60000.0,Unlimited contract,101 to 1000,1,0,0,Employee
34,1,0,12.0,74000.0,Unlimited contract,101 to 1000,1,0,0,Management
28,0,0,8.0,75000.0,Unlimited contract,101 to 1000,1,0,1,Management
33,1,0,11.0,65000.0,Unlimited contract,11 to 50,1,0,0,Management
33,1,0,11.0,90000.0,Unlimited contract,1000+,1,0,0,Management
35,1,0,8.0,90000.0,Unlimited contract,1000+,1,1,1,Management
28,1,0,6.0,64000.0,Unlimited contract,101 to 1000,1,1,0,Employee
25,1,0,2.0,44000.0,Unlimited contract,1000+,1,0,0,Employee
32,1,0,10.0,80000.0,Unlimited contract,51 to 100,1,0,0,Management
32,1,0,9.0,73000.0,Unlimited contract,101 to 1000,1,1,1,Management
26,1,1,9.0,120000.0,Unlimited contract,1000+,1,1,1,Top Management
25,1,0,6.0,71750.0,Unlimited contract,1000+,1,1,1,Management
27,0,0,5.0,65000.0,Unlimited contract,51 to 100,1,0,0,Employee
28,1,0,7.0,66000.0,Unlimited contract,1000+,1,1,1,Management
34,1,0,13.0,85000.0,Unlimited contract,101 to 1000,1,0,0,Management
35,1,1,10.0,65000.0,Unlimited contract,51 to 100,1,0,0,Employee
36,1,0,10.0,85000.0,Unlimited contract,1000+,0,0,0,Management
31,0,0,8.0,45000.0,Unlimited contract,101 to 1000,1,0,0,Employee
32,1,1,10.0,62000.0,Unlimited contract,101 to 1000,1,0,0,Employee
37,1,0,17.0,77000.0,Unlimited contract,1000+,1,1,0,Management
29,1,0,5.0,65000.0,Unlimited contract,101 to 1000,1,0,0,Management
32,1,0,18.0,81000.0,Unlimited contract,1000+,0,1,0,Management
35,1,1,12.0,63000.0,Unlimited contract,101 to 1000,1,0,0,Management
41,1,0,19.0,75000.0,Unlimited contract,101 to 1000,1,0,0,Management
29,1,1,0.0,22000.0,Unlimited contract,51 to 100,1,1,1,Employee
30,1,1,6.0,65000.0,Unlimited contract,1000+,1,1,0,Employee
26,1,0,3.0,37000.0,Unlimited contract,51 to 100,1,0,0,Employee
32,1,0,13.0,70000.0,Unlimited contract,11 to 50,1,1,1,Management
33,1,0,2.0,70000.0,Unlimited contract,1000+,1,1,1,Management
32,1,0,8.0,65000.0,Unlimited contract,1000+,1,1,0,Management
43,1,0,20.0,105000.0,Unlimited contract,1000+,1,0,0,Management
33,1,0,11.0,80000.0,Unlimited contract,101 to 1000,1,0,1,Management
36,1,1,16.0,105000.0,Unlimited contract,1000+,1,1,0,Management
36,1,0,4.0,55000.0,Unlimited contract,101 to 1000,1,0,0,Employee
38,1,0,5.0,66000.0,Unlimited contract,101 to 1000,1,0,1,Employee
28,1,0,6.0,85000.0,Unlimited contract,1000+,1,1,0,Employee
30,1,0,6.0,79000.0,Unlimited contract,1000+,1,1,0,Management
30,1,1,8.0,74000.0,Unlimited contract,1000+,1,1,1,Employee
32,0,0,9.0,74000.0,Unlimited contract,101 to 1000,1,1,0,Employee
30,0,0,8.0,57760.0,Unlimited contract,11 to 50,0,1,0,Employee
